case_label,channel,L,temperature_index,temperature,energy_cell_pass,failed_locked_target
random_p090,binder_roa,80,4,1.219967993599,True,False
random_p090,binder_roa,80,5,1.229967993599,True,False
random_p090,binder_roa,80,6,1.239967993599,True,False
random_p090,binder_roa,80,7,1.249967993599,True,False
random_p090,binder_roa,80,8,1.259967993599,True,False
random_p090,binder_roa,80,9,1.269967993599,True,False
random_p090,binder_roa,100,5,1.229967993599,True,False
random_p090,binder_roa,100,6,1.239967993599,True,False
random_p090,binder_roa,100,7,1.249967993599,True,False
random_p090,binder_roa,100,8,1.259967993599,True,False
random_p090,binder_roa,100,9,1.269967993599,True,False
random_p090,binder_roa,120,5,1.229967993599,True,False
random_p090,binder_roa,120,6,1.239967993599,True,False
random_p090,binder_roa,120,7,1.249967993599,True,False
random_p090,binder_roa,120,8,1.259967993599,True,False
random_p090,xi_over_L,40,2,1.199967993599,True,False
random_p090,xi_over_L,40,3,1.209967993599,True,False
random_p090,xi_over_L,40,4,1.219967993599,True,False
random_p090,xi_over_L,40,5,1.229967993599,True,False
random_p090,xi_over_L,40,6,1.239967993599,True,False
random_p090,xi_over_L,40,7,1.249967993599,True,False
random_p090,xi_over_L,40,8,1.259967993599,True,False
random_p090,xi_over_L,40,9,1.269967993599,True,False
random_p090,xi_over_L,40,10,1.279967993599,True,False
random_p090,xi_over_L,40,11,1.289967993599,True,False
random_p090,xi_over_L,40,12,1.299967993599,True,False
random_p090,xi_over_L,40,13,1.309967993599,True,False
random_p090,xi_over_L,40,14,1.319967993599,True,False
random_p090,xi_over_L,60,4,1.219967993599,True,False
random_p090,xi_over_L,60,5,1.229967993599,True,False
random_p090,xi_over_L,60,6,1.239967993599,True,False
random_p090,xi_over_L,60,7,1.249967993599,True,False
random_p090,xi_over_L,60,8,1.259967993599,True,False
random_p090,xi_over_L,60,9,1.269967993599,True,False
random_p090,xi_over_L,60,10,1.279967993599,True,False
random_p090,xi_over_L,60,11,1.289967993599,True,False
random_p090,xi_over_L,80,4,1.219967993599,True,False
random_p090,xi_over_L,80,5,1.229967993599,True,False
random_p090,xi_over_L,80,6,1.239967993599,True,False
random_p090,xi_over_L,80,7,1.249967993599,True,False
random_p090,xi_over_L,80,8,1.259967993599,True,False
random_p090,xi_over_L,80,9,1.269967993599,True,False
random_p090,xi_over_L,100,5,1.229967993599,True,False
random_p090,xi_over_L,100,6,1.239967993599,True,False
random_p090,xi_over_L,100,7,1.249967993599,True,False
random_p090,xi_over_L,100,8,1.259967993599,True,False
random_p090,xi_over_L,100,9,1.269967993599,True,False
random_p090,xi_over_L,120,5,1.229967993599,True,False
random_p090,xi_over_L,120,6,1.239967993599,True,False
random_p090,xi_over_L,120,7,1.249967993599,True,False
random_p090,xi_over_L,120,8,1.259967993599,True,False
pristine_p100,binder_roa,40,2,1.44,True,False
pristine_p100,binder_roa,40,3,1.45,True,False
pristine_p100,binder_roa,40,4,1.46,True,False
pristine_p100,binder_roa,40,5,1.47,True,False
pristine_p100,binder_roa,40,6,1.48,True,False
pristine_p100,binder_roa,40,7,1.49,True,False
pristine_p100,binder_roa,40,8,1.5,True,False
pristine_p100,binder_roa,40,9,1.51,True,False
pristine_p100,binder_roa,40,10,1.52,True,False
pristine_p100,binder_roa,40,11,1.53,True,False
pristine_p100,binder_roa,40,12,1.54,True,False
pristine_p100,binder_roa,40,13,1.55,True,False
pristine_p100,binder_roa,40,14,1.56,True,False
pristine_p100,binder_roa,40,15,1.57,True,False
pristine_p100,binder_roa,40,16,1.58,True,False
pristine_p100,binder_roa,40,17,1.59,True,False
pristine_p100,binder_roa,40,18,1.6,True,False
pristine_p100,binder_roa,60,5,1.47,True,False
pristine_p100,binder_roa,60,6,1.48,True,False
pristine_p100,binder_roa,60,7,1.49,True,False
pristine_p100,binder_roa,60,8,1.5,True,False
pristine_p100,binder_roa,60,9,1.51,True,False
pristine_p100,binder_roa,60,10,1.52,True,False
pristine_p100,binder_roa,60,11,1.53,True,False
pristine_p100,binder_roa,60,12,1.54,True,False
pristine_p100,binder_roa,60,13,1.55,True,False
pristine_p100,binder_roa,60,14,1.56,True,False
pristine_p100,binder_roa,60,15,1.57,True,False
pristine_p100,binder_roa,80,6,1.48,True,False
