case_label,L,temperature,n,energy_pass_n,energy_pass_fraction,mag_pass_n,mag_pass_fraction,joint_pass_n,joint_pass_fraction,essE_min,essE_p10,essE_median,essM_min,essM_p10,essM_median,tauE_max,tauE_median,tauM_max,tauM_median,measurement_stride_min,measurement_stride_max,realization_threshold,required_pass_fraction,energy_cell_pass,joint_cell_pass,primary_mask_metric,primary_source_cell_pass
pristine_p100,60,1.51,10,10,1.0,10,1.0,10,1.0,972.365267048384,981.9063929144329,1093.7988048353143,1201.4038247427443,1384.8986853209717,1454.484593889355,5.1421005762345935,4.575229125657037,4.1617979708618345,3.4393468906482836,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.52,10,10,1.0,10,1.0,10,1.0,636.7425337016489,677.0630631214668,805.9768496980491,1110.5226046974517,1131.6308577757598,1185.5190064388626,7.852467418711488,6.2036971846547395,4.502384714052884,4.217610650385744,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.53,10,10,1.0,10,1.0,10,1.0,426.0946004481045,464.66510403718104,495.3656870694789,857.3412844048506,895.3148371716237,1020.9429351121538,11.734483362947394,10.096999687780531,5.831983238123079,4.900108230849765,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.54,10,10,1.0,10,1.0,10,1.0,321.0761285732108,378.5183341811692,411.91903568376404,904.479604282937,966.770998639124,1080.2828769990226,15.572630772081569,12.139363787499441,5.528040628361049,4.630746683021326,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.55,10,10,1.0,10,1.0,10,1.0,248.86619317586656,251.38723922397512,286.117223681424,995.4716321384608,1007.7010689137791,1065.4159604527372,20.091117785800037,17.475500419478543,5.022744836293383,4.693261850543367,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.56,10,10,1.0,10,1.0,10,1.0,205.45412492750904,207.73360194319554,241.00942769740894,1174.794905214109,1185.250111140938,1321.4457737813077,24.33633299776368,20.7464455766086,4.256062039261857,3.784551212465288,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.57,10,10,1.0,10,1.0,10,1.0,109.80792952921777,118.52689639150933,163.40927183861788,1191.1069731913938,1196.1667490040059,1311.0953262896887,45.53405224410134,30.619447637160302,4.197775777101905,3.8147658865001697,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.58,10,10,1.0,10,1.0,10,1.0,101.20339976381268,122.77085538361645,133.69111317001762,1198.8496047648955,1200.5979709919573,1328.5167219150032,49.40545487275074,37.41943355453122,4.170664927549892,3.7636345582364257,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.59,10,7,0.7,10,1.0,7,0.7,81.91767136796567,87.51312220228316,114.30398132974909,1099.9471343059968,1152.705219520775,1391.6634471073794,61.03689126538424,43.77706370010466,4.545673009234859,3.5945563645186516,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,60,1.6,10,5,0.5,10,1.0,5,0.5,61.14380311816978,79.30029341502527,101.75867773768232,1056.835011543874,1147.590421958082,1229.567781625588,81.77443575658408,49.164124613930554,4.731107453277656,4.06766304448138,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,60,1.61,10,5,0.5,10,1.0,5,0.5,80.34288222810818,85.40038081176723,98.28110918326891,894.5286197886217,903.1021407146357,1092.6360629843489,62.23326648655799,50.89184096242878,5.589536085700095,4.5837311300960195,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,60,1.62,10,2,0.2,10,1.0,2,0.2,41.265720182203594,41.807440492985414,73.74295452053158,897.7713272637582,932.9701557173497,1057.5906701490671,121.16594543662708,67.81314039908736,5.569346946331066,4.728011473257146,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,80,1.42,10,10,1.0,10,1.0,10,1.0,2840.9194475906893,2911.3444502967104,3063.9675523400274,3146.7704704253183,3162.249799677328,3316.9978387613646,1.7599935838520069,1.631903133834999,1.5889306344368357,1.5073871906914231,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.43,10,10,1.0,10,1.0,10,1.0,2825.423275499688,2915.9482725191056,3103.975928617776,3090.357406465565,3099.894761722503,3271.861994235176,1.7696463547097132,1.6110243624140628,1.6179358379516655,1.5282529545546653,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
